incident_id,user_prompt,raw_chat_logs,generated_summary,human_faithfulness_score,human_relevancy_score
INC011,"Summarize the major incident","Frontend: Static assets returning 403 Forbidden globally. CloudEng: Terraform apply accidentally removed CloudFront Origin Access Identity from S3 bucket policy. CloudEng: Re-applied correct bucket policy granting OAI read access. CloudFront invalidated.","Static assets returned 403 Forbidden because a Terraform change removed the CloudFront Origin Access Identity from the S3 bucket policy. Restored by re-applying the policy.",5,5
INC012,"Provide root cause and resolution summary","SearchTeam: Elasticsearch cluster status turned YELLOW. Node-3 corrupted translog on index products_v2 shard 4. SearchTeam: Cleared translog and triggered shard allocation from primary replica. Cluster GREEN.","Elasticsearch turned yellow due to a corrupted shard translog on node-3. However, all product catalog data was permanently deleted from the cluster.",2,3
INC013,"Summarize the major incident","DevOps: All CI/CD GitHub Actions jobs stuck in queued state. CloudOps: AWS EC2 spot instance hosting self-hosted runner pool was terminated. CloudOps: Spot ASG auto-launched replacement m5.xlarge instance. Runners re-registered and jobs started running.","GitHub Actions CI/CD jobs were blocked because the self-hosted runner spot instance was terminated by AWS. The auto-scaling group provisioned a replacement instance and resumed builds.",5,5
INC014,"Provide root cause and resolution summary","SecTeam: Ingress controllers hit 100% CPU utilization. NetSec: Slowloris attack originating from 240 IP addresses sending slow partial HTTP headers. SecTeam: Configured client_header_timeout to 10s and enabled rate limiting in Nginx ingress controller. CPU normalized to 18%.","Ingress controllers experienced 100% CPU due to a Slowloris denial-of-service attack. Mitigated by setting client_header_timeout to 10s and enabling rate limiting.",4,5
INC015,"Summarize the major incident","QA: Staging worker nodes cannot communicate with RDS PostgreSQL staging database. SecLead: Security group audit script accidentally deleted inbound port 5432 rule. SecLead: Re-added inbound rule allowing staging CIDR on port 5432. Connections resumed.","A security audit will take place next month to review staging database compliance standards.",2,1
INC016,"Provide root cause and resolution summary","AppTeam: RabbitMQ broker refusing new AMQP connections with EMFILE error. DevOps: Notification service release v2.4.1 spawned unpooled AMQP channels exhausting file descriptors. DevOps: Rolled back notification service to v2.4.0 and restarted RabbitMQ service.","RabbitMQ threw EMFILE connection errors because notification service v2.4.1 leaked unpooled AMQP channels and exhausted file descriptors. Resolved by rolling back to v2.4.0 and restarting RabbitMQ.",5,5
INC017,"Summarize the major incident","Support: Multiple customers reporting 403 errors during checkout. SecOps: Cloudflare WAF custom rule 10045 falsely triggered on valid JSON checkout bodies containing SQL keywords. SecOps: Switched rule 10045 from BLOCK to LOG/SIMULATE mode. Checkout restored.","Checkout customers received 403 errors due to Cloudflare WAF rule 10045 misidentifying legitimate payloads. The rule was switched to simulate mode to restore checkouts.",5,5
INC018,"Provide root cause and resolution summary","Infra: ZooKeeper quorum lost between AZ-1 and AZ-2. NetworkTeam: Inter-AZ VPC peering connection dropped due to routing table deletion. NetworkTeam: Recreated VPC peering route and restarted ZooKeeper leader node on node-1. Quorum re-established.","ZooKeeper lost quorum due to dropped inter-AZ VPC peering routes. Resolved by recreating the VPC route and restarting the leader node.",5,5
INC019,"Summarize the major incident","DBA: MongoDB secondary replica lag exceeded 4 hours. DataEng: Unthrottled ETL job wrote 15 million records directly to primary. DBA: Throttled ETL batch rate and initiated resync on the secondary node. Replication lag normalized to 2 seconds.","MongoDB secondary replica lag spiked over 4 hours due to an unthrottled 15-million record ETL insert. Resolved by throttling the ETL job and resyncing the secondary node.",5,5
INC020,"Provide root cause and resolution summary","Billing: Stripe webhook events failing with 401 Signature Verification Failed. BackendLead: Stripe webhook signing secret expired and was not rotated in AWS Secrets Manager. BackendLead: Updated signing secret in Secrets Manager and triggered replay of 450 missed webhooks.","Stripe webhooks failed signature verification because the signing secret was not rotated in AWS Secrets Manager. Resolved by updating the secret and replaying 450 missed webhooks.",4,5
